Nombre del estudio,Dirección,Barrio,Teléfono,Email,Instagram,Seguidores,Puntaje x reserñas,Web,Fabricantes Ref,Diseño,App,Opiniones,Presentación,Servicios adicionales,Horario,Código Plus,Fuente de datos,Fecha de recolección,Observacciones,
Palermo Pilates,"Darregueyra 2387, C1425 FLQ, Cdad. Autónoma de Buenos Aires",Palermo,111530588867,info@palermopilates.com,https://www.instagram.com/palermopilates/#,1222,"4,9x48",http://palermopilates.com/,Idepil.com,"Moderno. Paleta de colores pastel: verde, turquesa, violeta.",,"Hace un mes: Muy buen lugar para hacer pilates. El espacio es lindo, limpio y tranquilo, ideal para concentrarse y relajarse. Las clases son muy buenas, guiadas y adaptadas a cada nivel. Se nota la dedicación de las profes. ¡Muy recomendable! Hace 2 meses: Durante mi estancia de 3 meses en Buenos Aires estuve acudiendo a Palermo Pilates. El sistema de reserva de clases a través de la app es muy cómo y con gran varidad de horarios. El equipo de profesores es muy amable y acogedor desde el primer momento. Sin duda disfruté mucho y volvería a repetir!",En nuestro estudio ahora podes tomar diversas clases combinándolas como quieras,,Lunes a viernes de 8 a. m.–10 p. m.,CH9G+F5 Cdad. Autónoma de Buenos Aires,Google maps Instagram web,01-08-25,"10 años. Ofrecen clases online. Redes muy orientativas, con mucha información. Profes de ambos géneros.",
Centropilates BA Palermo,"Av. Sta. Fe 3312 8A, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1158644224,info@centropilatesba.com,https://www.instagram.com/centropilates_ba/#,"54,2 mil","4,9x34",http://www.centropilatesba.com/,Studio moderna Pilates,"Moderno, paleta de colores pastel beige, rosa pálido, verde, gris. Pared con  Iluminado,",,"Hace un mes: Hermoso lugar. Tomo las clases de Maru, muy buenas. La profe muy organizada y da clases muy completas. Me encantó y el lugar muy agradable y ciudado. Lo recomiendo. Hace un año: Empecé hace un mes y soy la más feliz, muy organizadas con el tema de horarios. Me encanta además que es muy limpio y las profesoras son dinámicas cada una a su manera","EL Método es un sistema de acondicionamiento no solo físico, sino también mental. Tomando el repertorio y fundamentos de Joseph Pilates, aplicamos modificaciones y variaciones para adaptar los ejercoicios a los diferentes niveles y necesidades. Te ofrecemos tres propuestas según tus objetivos.",,De Lunes a viernes de 9:00 a22:00. Sábado y Domingo de 8:00 a 21:00.,"CH6Q+Q7 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps Instagram, web",01-08-25,Tiene dos sedes Palermo y Núñez. Mucha información disponible en web y redes.,
María Laura Studio,"Jerónimo Salguero 2142 Primer Piso, C1425 Cdad. Autónoma de Buenos Aires",Palermo,111535890631,inelia garcia ,https://www.instagram.com/maria.laurastudio/,793,"4,6x10",,P&P,"Moderno, equipado, iluminado.",,"Hace 10 meses: Hermoso estudio! se nota que cuidan cada detalle con amor. Esta muy bien equipado y las profes son super profesionales y saben escuchar las necesidades de cada uno para trabajar de forma responsable y personalizada. La sala de yoga en un oasis de paz en medio de la ciudad. Super recomendable! Hace 10 meses: Cambió mucho, ahora hay destrato.","Nuestras clases están pensadas para todas las edades.Porque el movimiento consciente no tiene límites, y cada cuerpo puede beneficiarse del Pilates y el Yoga en cualquier etapa de la vida.",Yoga,De lunes a viernes de 8 a. m.–9 p. m.,"CH7Q+M5 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",01-08-25,"Capacitaciones con Auténtico pilates, San Pablo.",
Corporal Centro De Bienestar Fisico,"Julián Álvarez 2672, C1425DHP Cdad. Autónoma de Buenos Aires",Palermo,111526337622,corporal.pilates@hotmail.com,https://www.instagram.com/corporal_cdbf/?hl=es#,1085,"5,0x26",https://corporalpilates.webnode.page/,FOX,"Básico. Equipado, iluminado.",,"Hace 10 meses:Ya estoy yendo al estudio hace un poco mas de 9 meses. Las clases son super dinámicas, cada instructora de pilates tiene su estilo y hacen que no solo sea un momento de conexion con el cuerpo sino un tiempo de calidad con una misma. Hace 11 meses: Buenísimas las clases de pilates! Todas las profesoras son amables y atentas, el clima es muy ameno. Sin dudas es un lugar para recomendar.",-,Pilates Reformer -Yoga-Personal Trainer-StretchingEntrenamiento funcional,"lunes,miércoles y viernes de 8 a. m. 21:00.","CH7P+RV Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps Instagram,01-08-25,,
BG PILATES BARRIO NORTE,"Araóz, Juncal y, 1025 Cdad. Autónoma de Buenos Aires",Palermo,111524717556,,https://www.instagram.com/bg.pilatesintegral/,174,"5,0x2",,Studio Moderna Pilates,Básico.,,Hace 3 meses:Voy a clases con Betiana hace aprox 10 años porque la calidad de trabajo y conocimiento que tiene no lo encontré en ningún otro lado. Con ella aprendí muchísimo y le encontré el placer de hacer actividad física. Recomendadísimo!,-,,"Lunes y jueves 8 a. m.–12 p. m., 4–9 p. m. martes, miércoles y viernes 8 a. m.–12 a. m.","CH8P+9W Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",14-10-25,Lic. en Folklóre • Instructora de Pilates • Estudiante Lic. en Kinesiología,
Espiralado,"Av. Raúl Scalabrini Ortiz 2831, C1425DBJ Cdad. Autónoma de Buenos Aires",Palermo,1151439165,,https://www.instagram.com/proyectoespiralado#,1070,"5,0x3",https://proyectoespiralado.wixsite.com/espiralado,-,"Básico, tiene un reformer (clases personalizadas)",,"Hace 6 meses: Soy músico y mi trabajo me obliga a estar en posturas no tan cómodas durante largas horas seguidas. Gracias a Espiralado llevo adelante mi vida con un cuerpo sano, fuerte, flexible y sin dolores.Totalmente recomendado!","¡Hola, soy Eugenia Casabella! .Soy bailarina, coreógrafa y docente de danza. Me formé en ballet, danza contemporánea, preparación física, flexibilidad y stretching.","Danza. Entrenamiento físico , flexibilidad. Embarazo y postparto",De lunes a viernes de 9 a. m.–6 p. m.,"CH8P+PW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google map, web Instagram",01-08-25,Formación en Danza.,
Oxzen Pilates,"Cabello 3224 Cabello 3767, Jerónimo Salguero 2686, C1425 Cdad. Autónoma de Buenos Aires",Palermo,111540240773,,https://www.instagram.com/oxzenpilates/?hl=es#,"50,3 mil","4,5x62",http://www.oxzen.com.ar/,Empower,"Moderno, equipos variados, nuevos, reformer clásicos y otros de metal. Colores beige, gris, fotos de Pilates en la pared. Equipamientos: Reformer, Wall Unit, Mat Profesional y Wunda Chair.",,"""Las clases son buenísimas, el espacio y clima Muy bueno, me siento cuidada!"".La secretaria que asigna los turnos terrible vieja resentida"". Las profes son muy responsables a la hora de enseñar!""","Contamos con 5 modalidades. REFORMER, STUDIO, MAT ONLINE, PERSONALIZADAS",,"De lunes a viernes 8 a. m.–9 p. m. Sábado, 10 a. m.–1 p. m.","CHCP+2X Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps Instagram,01-08-25,Redes activas y con información variada. Sede en Salguero 2686 y en Cabello 3224. Van muchos famosos a recibir clases,
Mood Pilates Reformer,"Av. Raúl Scalabrini Ortiz 3162, C1425 Cdad. Autónoma de Buenos Aires",Palermo Chico,1169628078,,https://www.instagram.com/moodpilatesreformer,2488,"4,6x33",,P&P,Básico,,"Hace un mes: Llevo varios años en Mood y no lo cambiaría por nada! Es un excelente lugar para ejercitarte y desafiar tus propios límites. Las profesoras son muy dedicadas y detallistas, lo que le permite a uno ir aprendiendo y mejorando su técnica. Gracias especialmente a Eli, Jenny y Shir",,,"De Lunes a jueves de 9 a. m.–8 p. m. viernes, 9 a. m.–7 p. m. sábado, 10 a. m.–1 p. m.","CH9Q+VW Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps instagram,01-08-25,,
Palace Pilates,"Cabello 3627, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1166416619,,https://instagram.com/palacepilates1?igshid=YmMyMTA2M2Y=,918,"4,4x7",,Armonia reformer,"Básico. Reformer clásicos,pesas, pelotas rojas, azules y grises.",,"Hace 8 meses: Me encanta hacer pilates acá. Además del espacio que es perfecto, la profe Giselle es una querida y muy competente. Re recomiendo!",-,,"Lun a vie de 8 a 20hs, sáb 9 a 13hs","CH9Q+QM Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Ig",14-10-25,,
Pilates INtegral,"Aráoz 2055 pb, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1155126311,,https://www.instagram.com/integralpilatesok/?hl=es#,1050,"4,8x25",https://www.pilatesintegral.net/,-,Básico.,,"Hace 7 meses: Recomiendo el espacio y las profes. El entrenamiento es a medida, tenés una profe para un máximo de 3 personas que van a adaptar la disciplina a tus necesidades, tus lesiones y tus objetivos. Las clases son excelentes. Arranqué hace algunos meses y además de sentir el trabajo físico, también estoy mejorando mi postura en el día a día.",,,Lunes a viernes de 8 a. m.–9 p. m,"CH6J+F4 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Ig",01-08-25,Clases presenciales y online,
Body Fit - Pilates Contemporaneo,"Beruti 4583 3ero A, C1425 Cdad. Autónoma de Buenos Aires",Palermo,111531467162,,https://www.instagram.com/bodyfitpilatesok/#,5044,"5,0x78",,P&P,"Amplio, equipado, pelotas, aros en tonalidades grises, azules, pesas rojas y amarillas.",,"Hace 7 meses: Excelente centro de Pilates. Paula y su equipo son muy comprometidos y atentos con sus alumnos. Eso es un plus! Además, el grupo humano es excepcional.",21 años de experiencia en bienestar. Pilates para embarazadas. Clases adaptadas para adultos mayores.Unisex/Personalizado,,"Lunes, martes, miércoles y viernes de 8 a. m.–9 p. m. jueves, 8 a. m.–10 p. m.sábado, 9 a. m.–1 p. m.","CHCG+W9 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Ig",01-08-25,,
Pilates BARAKA,"Amenábar 80, C1426 Cdad. Autónoma de Buenos Aires",Colegiales- Palermo Hollywood,1164695997,,https://www.instagram.com/pilates.baraka/#,72,"4,4x7",,-,Básico,,Hace un mes: No recomendado. No respeta el horario por el que se le pago. Te cambia por el horario que ella puede,,,"Lunes a viernes de 10 a. m.–9 p. m. sábado, 11 a. m.–7 p. m.","CHF6+55 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",15-09-25,IG se unió en agosto 2025,
Clic Pilates Palermo Hollywood,"Av. Dorrego 1789, C1414 Cdad. Autónoma de Buenos Aires",Palermo Hollywood,111532849318,,,,"5,0x8",https://www.clicpilates.com/,,,,,,,"lunes, miércoles y viernes de 7:45–10:45 a. m., 2–5 p. m. martes y jueves 7:45–11:45 a. m., 4–9 p. m.","CH95+H2 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",15-09-25,"Franquicias: Pilar, Pilará, Escobar, Nordelta, Palermo Soho, Palermo Hollywood, Belgrano C y Olivos",
Lotuszen Pilates,"Arévalo 1736 5g, C1425 Cdad. Autónoma de Buenos Aires",Palermo Hollywood,1139174465,,https://www.instagram.com/lotuszenpilates?igsh=MXBiMDlpOWZieWxzdw==,775,"4,8x28",,Del Rio Pilates,Tonalidades beige (reformer) y amarillo- dorado (cartel-logo). Armonioso.,,"Hace un año: Es un lugar muy lindo, las chicas son amables y atentas. Espacio y ambiente perfecto para las rutinas. Las clases son personalizadas y eso me gusta.",,,Lunes a viernes de 8 a. m.–9 p. m,"CH95+QW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",15-09-25,,
Pilates UMANO,"Costa Rica 6043, C1414 Cdad. Autónoma de Buenos Aires",Palermo Hollywood,1124794377,,https://www.instagram.com/umanopilates/#,538,"5,0x5",,Reformer de caño,"Moderno, iluminado, amplio.","Hace 2 meses: Excelente lugar y profesionalismos de los instructores. Están atentos a los alumnos y sobre todo corrigiendo si uno hace la técnica incorrecta. Buen ambiente, amigable y agradable.",,,,Lunes a viernes de 8 a. m.–8 p. m.,"CHC6+98 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",15-09-25,Profes hombres,
Udana Pilates Studio,"Bulnes 1331, C1176 Cdad. Autónoma de Buenos Aires",Palermo,1172399099,,https://www.instagram.com/udanapilates/,290,"5,0x6",,Studio moderna,"Moderno, amplio, iluminado.",,"Hace un mes: aHermoso estudio de pilates. Abrieron hace poquito, probe clases con varios profes porque fui en distintos horarios y todos muy copados, se onta que saben mucho, estan atentos a cada postura. Me encanta la deco del lugar es super lindo y relajante",,,"Lunes a viernes de 8 a. m.–9 p. m. sábado, 10 a. m.–12 p. m.","CH3M+G7 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",15-10-25,Abrieron el 11 de agosto de 2025.,
Naos Pilates Studio,"Av. Cnel. Díaz 2733, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1159945686,,https://www.instagram.com/naos.pilates/#,1358,"4,7x21",,-,"Moderno, amplio, iluminado, armonioso.",,"Hace un mes: El espacio es lindo y está bien cuidado. Pese a eso, no me sentí muy cómoda con la profesora. La clase fue cero personalizada y las formas por parte de ella me parecieron un poco brutas.",,,"Lunes a viernes de 7 a. m.–9 p. m. sábado, 9 a. m.–2 p. m.","CH9W+C2 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",15-10-25,Abrieron el 4 de agosto,
Balance Pilates,"Paunero 2750, C1425DIA C1425DIA, Cdad. Autónoma de Buenos Aires",Palermo Chico,1121824672,,https://www.instagram.com/balancebyemi,162,"5,0x2",,Pilates mat,"Armonioso, tonalidades en torno al azul, gris, verde, blanco, violeta. Amplio e iluminado.",,,"Un estudio pensado para vos. En nuestras clases de Pilates Mat no solo trabajamos en la colchoneta: también incorporamos pesas, bandas, pelotas y más para que cada movimiento sea completo, dinámico y desafiante.",-,De lunes a domingo de 8 a. m.–2 p. m.,CH9R+68 Cdad. Autónoma de Buenos Aires,"Google maps, IG",15-10-25,Abrieron el 8 de septiembre de 2025,
KaiBliss | Yoga & Wellness,"Av. Cerviño 4483, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1176260949,,https://instagram.com/kaiblisstudio,,"5,0x49",http://www.kaibliss.com.ar/,FOX,"Moderno, amplio, iluminado, paleta de colores grises, beige, dorado.",,Hace 2 meses: Kaibliss es un lugar mágico. Desde que entras la energía es muy cálida y todo el personal te hace sentir cómoda y contenida para que tengas la mejor experiencia. Tome unas clases de pilates mat excelentes! Súper recomiendo,Centro de bienestar integral,"Centro de bienestar integral, Yoga, Pilates, Barre, Meditación, Kai Spa, Coffee Bliss","Lunes a viernes de 8 a. m.–1 p. m., 5–9 p. m. sábado, 9 a. m.–1 p. m.","CHFH+JM Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG; web.",15-10-25,Abrieron el 21 de abril de 2025. Es una familia y hacen varias prácticas.,
Ambika Pilates Palermo,"José A. Cabrera 5950 1A, C1414 Cdad. Autónoma de Buenos Aires",Palermo,1127811105,,https://www.instagram.com/pilates.ambika/?hl=es-la#,,"4,8x6",,Idepil.com,,,,,,"Lunes a viernes de 8 a. m.–12 p. m., 5–9 p. m. sábado, 9 a. m.–1 p. m.","CH85+Q5 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google map, IG",15-10-25,Tiene una sede en Caballito y otra en Palermo.,
Naroa Pilates,"Uriarte 1696, C1414 Cdad. Autónoma de Buenos Aires",Palermo Soho,111527966458,,https://www.instagram.com/naroapilates/?hl=es#,7836,"4,7x110",http://naroapilates.com.ar/,P&P,,,Hace 2 meses: Me encanta el lugar y el profesionalismo de las profesoras. Te cuidan y las clases son siempre distintas. Entrenas tu cuerpo de manera entrenida. Todo el equipo del lugar es genial! Lo recomiendo!,"Naroa Pilates es una empresa familiar que, además, comparte la pasión por la salud y el cuidado del cuerpo a través del movimiento.",RPG (reeducacion postural global) y Terapia Manual.,"Lunes, martes y jueves de 8 a. m.–12 p. m., 4–9 p. m. miércoles y viernes de 8 a. m.–1 p. m., 5–10 p. m. sábado, 9 a. m.–1 p. m.","CH79+7F Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG, web",15-10-25,"Tiene tres sedes, Recoleta, colegiales y Palermo. Liderados por kinesiólogo.",
Dash Pilates & Yoga,"Av. Raúl Scalabrini Ortiz 2069, C1425BKU Cdad. Autónoma de Buenos Aires",Palermo Soho,1169239777,,https://www.instagram.com/dash.pilates/?hl=es,1298,"4,0x43",,-,básico,,"Editado 3 semanas atrás: Probé un mes, las clases fueron más de funcional que de pilates. Las camillas o los cadillac se usaban para ejercicios muy particulares. Me pasó que la profesora la última clase por la cual elegí no ir más hizo comentarios despectivos en relacion a mi ropa y a mi elección de no saltar la soga en frente de toda la clase, gritándome que no tenía dignidad y que tenía la edad suficiente para hacerlo y ahí decidí dejar de ir. No lo recomiendo para nada",,,Lunes a viernes de 8 a. m.–8 p. m.,"CH6H+PQ Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Ig",16-10-25,,
ATTIC - Pilates & Barre Studio,"Honduras 4822, C1425 Cdad. Autónoma de Buenos Aires",Palermo  Soho,111571451598,,https://www.instagram.com/attic.pilates?igsh=eDhzajhoNjE1bXUy&utm_source=qr,482,"5,0x8",,-,"Moderno, luminoso,",,Hace un mes: Un estudio súper luminoso con excelente equipamiento. Las chicas son lo más!,,,,"CH6C+2H Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",16-10-25,Abrieron en septiembre de 2025,
MP Pilates,"Cavia 3108, C1425 Cdad. Autónoma de Buenos Aires",Palermo,111525760122,,https://www.instagram.com/mppilates_,4384,"5,0x2",,FOX,"Básico, equipado.",,Hace un mes: Hola!! Empecé a hacer pilates en este lugar hace unos meses y las clases son increíbles. Los profesores son muy buenos explicando los ejercicios. Ofrece una variedad de clases desde gente principiante hasta gente que ya hace pilates de hace tiempo (mi caso). Muy bienvenida. Gracias c:,,,"Lunes a viernes de 4 a. m.–12 a. m. sábado, 8 a. m.–12 a. m.","CHFV+JH Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",16-10-25,En marzo abrieron una nueva sede en Palermo.,
Pilates HIIT,"Av. Córdoba 5869, C1414 Cdad. Autónoma de Buenos Aires",Palermo Hollywood,11-3485-7514,info@pilates-hiit.com,https://www.instagram.com/pilateshiitok/#,"78,6 mil","4,9x131",http://www.pilates-hiit.com/,P&P,"Moderno, amplio, power, muchas luces…",,"Hace un mes: Vengo tomando clases en pilates hiit y es algo que le recomiendo a todo el mundo probar, además de ser una actividad súper completa donde entrenas, te divertís y te adentras en una experiencia espectacular desde que entras al estudio hasta que te vas, las luces, la música, la calidad humana de todo el equipo es hermosa, tuve la suerte de probar clases con casi todas las profes del equipo y todas tienen algo especial y a destacar. gracias phiit!! Amo todo","Nuestro método PHIIT® conecta el Pilates con intervalos de alta intensidad (High Intensity Interval Training). Logramos una alta quema calórica, flexibilidad y desarrollo muscular. En clases intensas, dinámicas y divertidas.",,"Lunes a viernes de 8 a. m.–9 p. m. sábado, 9 a. m.–2 p. m.","CH74+RV Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG, web",16-10-25,Ofrecen cursos y master class,
